"";"Склад";"Тип";"Номер";"Име на материал";"Мярка";"Наличност";"Средна покупна цена";"Стойност по средна доставна цена";"Последна покупна цена";"Продажна цена";"Сума пр.цени";"Среден % надценка";"Основен доставчик";"Основен доставчик - обект";"Основен доставчик - лице за контакт";"Производител";"Блокиран";"Дата на последна промяна";"Спецификация";"Средна покупна цена без ДДС";"Последна покупна цена без ДДС";"Вид на продукта";"Промоции";"Договорена покупна цена";"Договорена покупна цена % то";"Договорена покупна цена от дата";"Договорена покупна цена до дата";"Последен доставчик";"Последен доставчик Oбект";"Последен доставчик Лице за контакт";"Алтернативен доставчик";"Алтернативен доставчик Oбект";"Алтернативен доставчик Лице за контакт";"Баркод";"Категории"
"Грешно";"Склад";"Материал";"254";"SD KARTA 16GB МИКРО CL10 TRAY";"броя";"-1.000";"16.56";"-16.56";"16.56";"25.3";"-25.3";"52.77";"";"";"";"";"не";"20.05.2024  14:14:04";"";"13.8";"13.8";"";"0";"";"";"";"";"ДАТЕКС ООД";"";"";"";"";"";"";""
"Грешно";"Склад";"Материал";"269";"Търговска везна S300FM 3/6kg, 6/15kg, 15/30kg";"броя";"-1.000";"240";"-240";"240";"300";"-300";"25";"";"";"";"";"не";"24.01.2025  15:19:22";"";"200";"200";"";"0";"";"";"";"";"ЕЛИКОМ ЕЛЕКТРОНИК -ГЕОРГИЕВ КД";"";"";"";"";"";"02-5301-111";"Електронни везни"
"Грешно";"Склад";"Материал";"300";"МИСТРАЛ V3 Моб.склад-годишен лиценз";"броя";"-1.000";"72";"-72";"72";"180";"-180";"150";"";"";"";"";"не";"18.04.2025  15:13:20";"";"60";"60";"";"0";"";"";"";"";"МИСТРАЛ СОФТУЕР  ЕООД";"";"";"";"";"";"";"МИСТРАЛ"
"Грешно";"Склад";"Материал";"431";"КАБЕЛ 820-ИНТЕРФ КАБЕЛ S300";"броя";"-1.000";"12";"-12";"12";"25";"-25";"108.33";"";"";"";"";"не";"24.01.2025  15:19:22";"";"10";"10";"";"0";"";"";"";"";"ЕЛИКОМ ЕЛЕКТРОНИК -ГЕОРГИЕВ КД";"";"";"";"";"";"";"ЧАСТИ"
"Грешно";"Склад";"Материал";"621";"Хардуерен лиценз - 1 компютър";"броя";"-1.000";"22.08";"-22.08";"22.08";"30.28";"-30.28";"37.13";"";"";"";"";"не";"07.06.2024  10:47:41";"";"18.4";"18.4";"";"0";"";"";"";"";"МИКРОИНВЕСТ - ООД";"";"";"";"";"";"";"Микроинвест"
"Грешно";"Склад";"Материал";"646";"Батерия CR2032 GP 2032-7C5";"броя";"-1.000";"1";"-1";"1";"2";"-2";"100";"";"";"";"";"не";"22.05.2024  14:56:21";"";"0.83";"0.83";"";"0";"";"";"";"";"РИЪЛ ВИЖЪН ИТ ЕООД";"";"";"";"";"";"";"Компютри"
"Грешно";"Склад";"Материал";"725";"Рутер Tenda - F3, 300Mbps";"броя";"-1.000";"0";"0";"0";"55";"-55";"";"";"";"";"";"не";"29.07.2024  15:45:50";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Рутер"
"Грешно";"Склад";"Материал";"783";"МИСТРАЛ 3 - Front Office - договор за 6 месеца";"броя";"-1.000";"54";"-54";"54";"144";"-144";"166.66";"";"";"";"";"не";"28.03.2025  17:24:15";"";"45";"45";"";"0";"";"";"";"";"МИСТРАЛ СОФТУЕР  ЕООД";"";"";"";"";"";"";"МИСТРАЛ"
"Грешно";"Склад";"Материал";"847";"USB Cable - 2.0 A type - micro USB";"броя";"-1.000";"7.2";"-7.2";"7.2";"15";"-15";"108.33";"";"";"";"";"не";"22.11.2024  15:09:44";"";"6";"6";"";"0";"";"";"";"";"ДЕЙЗИ СЕРВИЗ - ООД";"";"";"";"";"";"";""
"Грешно";"Склад";"Материал";"853";"ПОС принтер Datecs EP-700";"броя";"-1.000";"348";"-348";"348";"432";"-432";"24.13";"";"";"";"";"не";"13.09.2024  11:42:35";"";"290";"290";"";"0";"";"";"";"";"ДАТЕКС ООД";"";"";"";"";"";"";""
"Грешно";"Склад";"Материал";"860";"Microinvest Склад Pro";"броя";"-1.000";"0";"0";"0";"467.05";"-467.05";"";"";"";"";"";"не";"07.06.2024  10:47:40";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Микроинвест"
"Грешно";"Склад";"Материал";"898";"Капак ъглов външен 8916";"броя";"-1.000";"1.7";"-1.7";"1.7";"3.5";"-3.5";"105.88";"";"";"";"";"не";"22.07.2024  14:32:46";"";"1.42";"1.42";"";"0";"";"";"";"";"Баухаус България ЕООД";"";"";"";"";"";"";""
"Грешно";"Склад";"Материал";"920";"Замбу мобилен ресторант до 5 раб. места годишен абонамент";"броя";"-1.000";"180";"-180";"180";"360";"-360";"100";"";"";"";"";"не";"21.02.2025  17:07:15";"";"150";"150";"";"0";"";"";"";"";"МИСТРАЛ СОФТУЕР  ЕООД";"";"";"";"";"";"";"МИСТРАЛ"
"Грешно";"Склад";"Материал";"951";"Облачна лоялна система годишен абонамент";"броя";"-1.000";"0";"0";"0";"1440";"-1440";"";"";"";"";"";"не";"22.05.2024  15:02:28";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";""
"Грешно";"Склад";"Материал";"1069";"MONITOR 17LG 17BR30T-B /TOUCH SCREEN";"броя";"-1.000";"0";"0";"379.04";"540";"-540";"";"";"";"";"";"не";"25.09.2024  14:50:44";"";"0";"315.87";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Монитори"
"Грешно";"Склад";"Материал";"1077";"Адаптер 24V 2.1 A with EU cable";"броя";"-1.000";"0";"0";"0";"58";"-58";"";"";"";"";"";"не";"18.12.2024  17:10:20";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Датекс"
"Грешно";"Склад";"Материал";"6765";"Абонамент barsy - търговски обект";"броя";"-1.000";"11.11";"-11.11";"11.11";"36";"-36";"224.03";"";"";"";"";"не";"04.04.2025  16:24:13";"";"9.26";"9.26";"";"0";"";"";"";"";"ЛУКАНЕТ - ООД";"";"";"";"";"";"";"Барси"
"Грешно";"Склад";"Материал";"1";"Тонер касета HP Pro M102/M130 CF217A- chip";"броя";"0.000";"13.63";"0";"13.63";"25";"0";"83.41";"";"";"";"";"не";"06.04.2024  21:36:22";"";"11.36";"11.36";"";"0";"";"";"";"";"ЕВРОТЕХ - ЕООД";"";"";"";"";"";"";"Тонери"
"Грешно";"Склад";"Материал";"3";"HP G3Q57A LJ PRO MFP M130A PRNTR";"броя";"0.000";"258.17";"0";"258.17";"248";"0";"-3.93";"";"";"";"";"не";"02.04.2024  17:51:00";"";"215.14";"215.14";"";"0";"";"";"";"";"МОСТ КОМПЮТЪРС ООД";"";"";"";"";"";"";"Принтери"
"Грешно";"Склад";"Материал";"4";"PRINTER USB CABLE 1.8M";"броя";"0.000";"0";"0";"0";"5";"0";"";"";"";"";"";"не";"27.01.2025  12:53:32";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"Кабели"
"Грешно";"Склад";"Материал";"5";"т79/80м. термохартиени ролки";"броя";"0.000";"1.8";"0";"1.8";"2.4";"0";"33.33";"";"";"";"";"не";"02.04.2024  17:51:00";"";"1.5";"1.5";"";"0";"";"";"";"";"ЕЛТРЕЙД ООД";"";"";"";"";"";"";"Ролки"
"Грешно";"Склад";"Материал";"6";"Т57/17м. термохартиени ролки";"броя";"0.000";"0.32";"0";"0.32";"0.5";"0";"56.25";"";"";"";"";"не";"02.04.2024  17:51:00";"";"0.27";"0.27";"";"0";"";"";"";"";"ЕЛТРЕЙД ООД";"";"";"";"";"";"3800135915005";"Ролки"
"Грешно";"Склад";"Материал";"8";"Монтаж на камера";"броя";"0.000";"0";"0";"0";"66";"0";"";"";"";"";"";"не";"06.04.2024  21:12:51";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"видеонаблюдение"
"Грешно";"Склад";"Материал";"14";"Компютър / hp rp5800";"броя";"0.000";"230";"0";"230";"240";"0";"4.34";"";"";"";"";"не";"06.04.2024  21:26:15";"";"191.67";"191.67";"";"0";"";"";"";"";"РИЪЛ ВИЖЪН ИТ ЕООД";"";"";"";"";"";"";"Компютри втора употр"
"Грешно";"Склад";"Материал";"15";"Камера turret IP, 2mp ipc-t1b20-036b";"броя";"0.000";"0";"0";"0";"147";"0";"";"";"";"";"";"не";"03.04.2024  16:08:10";"";"0";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"ip камери"
"Грешно";"Склад";"Материал";"16";"Gigabit POE инжектор IEEE82.3af/at/30W";"броя";"0.000";"39.43";"0";"39.43";"50";"0";"26.8";"";"";"";"";"не";"06.04.2024  21:36:21";"";"32.86";"32.86";"";"0";"";"";"";"";"СисТех България ООД";"";"";"";"";"";"";"Захранвания и poe"
"Грешно";"Склад";"Материал";"18";"BNC конектор с пружинка";"броя";"0.000";"0.87";"0";"1.3";"2";"0";"129.88";"";"";"";"";"не";"06.04.2024  21:36:16";"";"0.72";"1.08";"";"0";"";"";"";"";"СисТех България ООД";"";"";"";"";"";"";"Букси"
"Грешно";"Склад";"Материал";"21";"Кабел CCTV+2*75";"метър";"0.000";"0.59";"0";"0.59";"1";"0";"69.49";"";"";"";"";"не";"05.04.2024  7:53:04";"";"0.49";"0.49";"";"0";"";"";"";"";"СисТех България ООД";"";"";"";"";"";"";"Кабели"
